Numéro de boucle;Libellé;Jour;Total
665;Bonduelle vers Nord;2022-05-09;9
667;Entrée pont Audibert vers Nord;2022-05-09;42
669;De Gaulle sortie Clémenceau vers Nord;2022-05-09;13
682;pont Anne de Bretagne vers Sud;2022-05-09;17
747;Chemin de halage Tortière vers Nord;2022-05-09;3
785;50 Otages Vers Sud;2022-05-09;28
890;Pont de Pirmil vers Sud;2022-05-09;52
950;avenue de la Libération vers Nord;2022-05-09;9
980;Pont Tabarly vers Sud;2022-05-09;0
1042;;2022-05-09;0
9998;;2022-05-09;19
9999;;2022-05-09;24
786;50 Otages Vers Nord;2022-05-09;35
880;Madeleine vers Nord;2022-05-09;31
945;Magellan vers Ouest;2022-05-09;11
977;3 Continents vers Nord;2022-05-09;5
997;Van Iseghem vers Sud;2022-05-09;7
670;Pont de Pirmil vers Sud;2022-05-09;11
676;Pont Willy Brandt vers Beaulieu;2022-05-09;7
727;Pont Tabarly vers Nord;2022-05-09;10
986;Tremie vers Ouest;2022-05-09;2
994;Ceineray vers Est;2022-05-09;4
664;Bonduelle vers sud;2022-05-09;12
746;Chemin de halage Tortière vers Sud;2022-05-09;3
788;50 Otages Vers Nord;2022-05-09;12
847;Entrée pont Audibert vers Sud;2022-05-09;47
943;Magellan vers Ouest;2022-05-09;1
946;Magellan vers Est;2022-05-09;16
959;Sorinières Vers Sud;2022-05-09;4
989;Kennedy vers Ouest;2022-05-09;41
1041;;2022-05-09;1
674;Pont Haudaudine vers Sud;2022-05-09;9
679;Bd Malakoff vers Gare Sud;2022-05-09;1
683;pont Anne de Bretagne vers Nord;2022-05-09;16
742;Philippot vers Est;2022-05-09;30
743;Philippot vers ouest;2022-05-09;10
948;Bd Malakoff vers Est;2022-05-09;1
960;Sorinières Vers Nord;2022-05-09;0
1054;;2022-05-09;0
1056;;2022-05-09;0
666;Pont Audibert vers Sud;2022-05-09;4
744;Calvaire vers Est;2022-05-09;13
745;Calvaire vers Ouest;2022-05-09;1
787;50 Otages Vers Sud;2022-05-09;7
881;Madeleine vers Sud;2022-05-09;32
944;Magellan vers Est;2022-05-09;3
949;avenue de la Libération vers Sud;2022-05-09;6
981;Pont Tabarly vers Nord;2022-05-09;2
987;Tremie vers Est;2022-05-09;0
996;Van Iseghem vers Nord;2022-05-09;4
1057;;2022-05-09;0
672;Pont de Pornic vers Nord;2022-05-09;6
675;Pont Haudaudine vers Nord;2022-05-09;6
680;Stalingrad vers ouest;2022-05-09;14
725;Pont Tabarly vers Sud;2022-05-09;14
947;Bd Malakoff vers Ouest;2022-05-09;2
988;Kennedy vers Est;2022-05-09;6
995;Ceineray vers Ouest;2022-05-09;9
1055;;2022-05-09;0
8673;;2022-05-09;4
9672;;2022-05-09;6
9673;;2022-05-09;7
668;De Gaulle vers sud;2022-05-09;9
673;Pont de Pornic vers Sud;2022-05-09;10
677;Pont Willy Brandt vers Malakoff;2022-05-09;10
681;Stalingrad vers est;2022-05-09;14
979;3 Continents vers Sud;2022-05-09;5
8672;;2022-05-09;9
670;Pont de Pirmil vers Sud;2022-05-08;295
675;Pont Haudaudine vers Nord;2022-05-08;426
960;Sorinières Vers Nord;2022-05-08;56
986;Tremie vers Ouest;2022-05-08;127
994;Ceineray vers Est;2022-05-08;502
8673;;2022-05-08;318
881;Madeleine vers Sud;2022-05-08;1348
948;Bd Malakoff vers Est;2022-05-08;391
989;Kennedy vers Ouest;2022-05-08;666
1042;;2022-05-08;116
9672;;2022-05-08;433
9998;;2022-05-08;564
674;Pont Haudaudine vers Sud;2022-05-08;362
742;Philippot vers Est;2022-05-08;683
672;Pont de Pornic vers Nord;2022-05-08;352
679;Bd Malakoff vers Gare Sud;2022-05-08;55
727;Pont Tabarly vers Nord;2022-05-08;371
890;Pont de Pirmil vers Sud;2022-05-08;1837
946;Magellan vers Est;2022-05-08;523
950;avenue de la Libération vers Nord;2022-05-08;307
959;Sorinières Vers Sud;2022-05-08;62
977;3 Continents vers Nord;2022-05-08;546
979;3 Continents vers Sud;2022-05-08;378
785;50 Otages Vers Sud;2022-05-08;1726
1055;;2022-05-08;0
8672;;2022-05-08;380
665;Bonduelle vers Nord;2022-05-08;519
666;Pont Audibert vers Sud;2022-05-08;132
669;De Gaulle sortie Clémenceau vers Nord;2022-05-08;350
682;pont Anne de Bretagne vers Sud;2022-05-08;876
667;Entrée pont Audibert vers Nord;2022-05-08;1573
673;Pont de Pornic vers Sud;2022-05-08;357
680;Stalingrad vers ouest;2022-05-08;480
746;Chemin de halage Tortière vers Sud;2022-05-08;572
747;Chemin de halage Tortière vers Nord;2022-05-08;576
787;50 Otages Vers Sud;2022-05-08;1221
847;Entrée pont Audibert vers Sud;2022-05-08;1591
945;Magellan vers Ouest;2022-05-08;483
980;Pont Tabarly vers Sud;2022-05-08;58
1056;;2022-05-08;0
1057;;2022-05-08;0
9999;;2022-05-08;311
880;Madeleine vers Nord;2022-05-08;1254
943;Magellan vers Ouest;2022-05-08;202
944;Magellan vers Est;2022-05-08;279
981;Pont Tabarly vers Nord;2022-05-08;152
1054;;2022-05-08;0
668;De Gaulle vers sud;2022-05-08;490
676;Pont Willy Brandt vers Beaulieu;2022-05-08;389
677;Pont Willy Brandt vers Malakoff;2022-05-08;295
681;Stalingrad vers est;2022-05-08;482
725;Pont Tabarly vers Sud;2022-05-08;344
743;Philippot vers ouest;2022-05-08;705
744;Calvaire vers Est;2022-05-08;382
786;50 Otages Vers Nord;2022-05-08;1817
788;50 Otages Vers Nord;2022-05-08;1331
947;Bd Malakoff vers Ouest;2022-05-08;416
988;Kennedy vers Est;2022-05-08;503
996;Van Iseghem vers Nord;2022-05-08;625
997;Van Iseghem vers Sud;2022-05-08;581
1041;;2022-05-08;91
9673;;2022-05-08;455
683;pont Anne de Bretagne vers Nord;2022-05-08;576
745;Calvaire vers Ouest;2022-05-08;65
949;avenue de la Libération vers Sud;2022-05-08;121
987;Tremie vers Est;2022-05-08;57
995;Ceineray vers Ouest;2022-05-08;596
664;Bonduelle vers sud;2022-05-08;713
665;Bonduelle vers Nord;2022-05-07;669
669;De Gaulle sortie Clémenceau vers Nord;2022-05-07;412
674;Pont Haudaudine vers Sud;2022-05-07;580
683;pont Anne de Bretagne vers Nord;2022-05-07;568
745;Calvaire vers Ouest;2022-05-07;133
785;50 Otages Vers Sud;2022-05-07;2493
880;Madeleine vers Nord;2022-05-07;1682
950;avenue de la Libération vers Nord;2022-05-07;373
986;Tremie vers Ouest;2022-05-07;232
747;Chemin de halage Tortière vers Nord;2022-05-07;506
890;Pont de Pirmil vers Sud;2022-05-07;2094
943;Magellan vers Ouest;2022-05-07;158
959;Sorinières Vers Sud;2022-05-07;43
960;Sorinières Vers Nord;2022-05-07;31
989;Kennedy vers Ouest;2022-05-07;866
1055;;2022-05-07;0
1056;;2022-05-07;0
9998;;2022-05-07;631
668;De Gaulle vers sud;2022-05-07;452
672;Pont de Pornic vers Nord;2022-05-07;411
664;Bonduelle vers sud;2022-05-07;673
666;Pont Audibert vers Sud;2022-05-07;151
667;Entrée pont Audibert vers Nord;2022-05-07;2188
725;Pont Tabarly vers Sud;2022-05-07;303
746;Chemin de halage Tortière vers Sud;2022-05-07;539
786;50 Otages Vers Nord;2022-05-07;2359
944;Magellan vers Est;2022-05-07;230
