alternance;appellationlibelle;competences;dateActualisation;dateCreation;description;dureeTravailLibelleConverti;experienceCommentaire;experienceExige;experienceLibelle;formations;id;intitule;langues;natureContrat;nombrePostes;qualificationCode;qualificationLibelle;romeCode;romeLibelle;typeContrat;typeContratLibelle;entreprise.nom;lieuTravail.codePostal;lieuTravail.commune;lieuTravail.latitude;lieuTravail.libelle;lieuTravail.longitude;origineOffre.origine;origineOffre.partenaires;origineOffre.urlOrigine;salaire.libelle;accessibleTH;dureeTravailLibelle;qualitesProfessionnelles;secteurActivite;secteurActiviteLibelle;trancheEffectifEtab;contact.coordonnees1;contact.courriel;contact.nom;entreprise.description;entreprise.logo;entreprise.url;deplacementCode;deplacementLibelle;contact.urlPostulation;salaire.commentaire;salaire.complement1;salaire.complement2;agence.courriel;contact.coordonnees2;contact.coordonnees3;permis;complementExercice;contact.commentaire;contact.telephone
False;Développeur / Développeuse informatique;[];2020-07-13T08:55:57+02:00;2020-07-13T08:55:57+02:00;"POSTE : Developpeur Informatique Access H/F
PROFIL : De formation Master MIAGE ou équivalent, débutant accepté si les tâches demandées peuvent être maîtrisées en toute autonomie. Parfaite maîtrise d'ACCESS et EXEL exigée.
DESCRIPTION : Randstad vous ouvre toutes les portes de l'emploi : intérim, CDD, CDI. Chaque année, 330 000 collaborateurs H/F travaillent dans nos 60 000 entreprises clientes. Rejoignez-nous !
Nous recherchons pour le compte de notre client, entreprise industrielle de renommée internationale, un/une développeur Informatique H/F.
Poste Situé proche de Chateau-Thierry. Vous serez chargé(e) de gérer des bases de données au sein de l'entreprise en utilisant les logiciels ACCESS, Excel (macros). Vous effectuez également de l'aide courante informatique sur le site (aide aux utilisateurs, installation de PC...). D'autres logiciels seront utilisés après formation interne. Poste à pourvoir en CDI à terme

En bref : Développeur informatique, SGBD, Access";Non renseigné;1.0;E;Expérience exigée (1);[];2415324;Développeur / Développeuse informatique (H/F);[];Contrat travail;1;8;Agent de maîtrise;M1805;Études et développement informatique;CDI;Contrat à durée indéterminée;Randstad;2200.0;2722.0;49.381111145;02 - SOISSONS;3.32249999;2;[{'logo': 'https://www.pole-emploi.fr/static/img/partenaires/nordjob80.png', 'nom': 'NORDJOB', 'url': 'https://www.nordjob.com/emplois/offre-4358459.html?&utm_source=pole_emploi&utm_medium=flux&utm_campaign=pole_emploi&utm_term=origin'}];https://candidat.pole-emploi.fr/offres/recherche/detail/2415324;;;;;;;;;;;;;;;;;;;;;;;;;;
False;Développeur / Développeuse informatique;[];2020-07-13T08:55:57+02:00;2020-06-24T03:42:27+02:00;"POSTE : Developpeur Informatique Access H/F
PROFIL : De formation Master MIAGE ou équivalent, débutant accepté si les tâches demandées peuvent être maîtrisées en toute autonomie. Parfaite maîtrise d'ACCESS et EXEL exigée.
DESCRIPTION : Randstad vous ouvre toutes les portes de l'emploi : intérim, CDD, CDI. Chaque année, 330 000 collaborateurs H/F travaillent dans nos 60 000 entreprises clientes. Rejoignez-nous !
Nous recherchons pour le compte de notre client, entreprise industrielle de renommée internationale, un/une développeur Informatique H/F.
Poste Situé proche de Chateau-Thierry. Vous serez chargé(e) de gérer des bases de données au sein de l'entreprise en utilisant les logiciels ACCESS, Excel (macros). Vous effectuez également de l'aide courante informatique sur le site (aide aux utilisateurs, installation de PC...). D'autres logiciels seront utilisés après formation interne. Poste à pourvoir en CDI à terme

En bref : Développeur informatique, SGBD, Access";Non renseigné;1.0;E;Expérience exigée (1);[];1612000;Développeur / Développeuse informatique (H/F);[];Contrat travail;1;8;Agent de maîtrise;M1805;Études et développement informatique;CDI;Contrat à durée indéterminée;Randstad;2200.0;2722.0;49.381111145;02 - SOISSONS;3.32249999;2;[{'logo': 'https://www.pole-emploi.fr/static/img/partenaires/jobintree80.png', 'nom': 'JOBINTREE', 'url': 'http://www.jobintree.com/offre-emploi/randstad-chateau-thierry-559/developpeur-informatique-access-21561509?utm_source=pole-emploi&utm_medium=flux-offres&utm_campaign=partenaire'}, {'logo': 'https://www.pole-emploi.fr/static/img/partenaires/meteojob80.png', 'nom': 'METEOJOB', 'url': 'https://www.meteojob.com/candidat/offres/offre-d-emploi-developpeur-informatique-h-f-soissons-picardie-cdi-13437914'}];https://candidat.pole-emploi.fr/offres/recherche/detail/1612000;;;;;;;;;;;;;;;;;;;;;;;;;;
False;Développeur / Développeuse informatique;[];2020-07-09T05:40:01+02:00;2020-06-23T05:54:08+02:00;"Description du poste :
Au sein d'une équipe informatique et après plusieurs formations en interne, vous assurerez la maintenance, la mise à jour et la prise en charge d'évolutions sur ACCESS. Les différents logiciels utilisés sont : ACCESS, Novalogi, Novareport. Le poste est à pourvoir à terme pour un CDI. Possibilité d'évolution sur le poste de chef de projet H/F.
Description du profil :
De formation Bac+2 en informatique industrielle ou équivalent, vous possédez à minima de bonnes notions sur les bases de données ACCESS";Non renseigné;;E;Expérience exigée de 1 à 2 An(s);[{'codeFormation': '31058', 'commentaire': 'Pas de commentaire formation', 'domaineLibelle': 'Informatique industrielle', 'exigence': 'S', 'niveauLibelle': 'Bac+2 ou équivalents'}];1567405;Développeur / Développeuse informatique (H/F);[];Contrat travail;1;X;;M1805;Études et développement informatique;CDI;Contrat à durée indéterminée;;2400.0;2168.0;49.04638889;02 - CHATEAU THIERRY;3.403055555;2;[{'logo': 'https://www.pole-emploi.fr/static/img/partenaires/meteojob80.png', 'nom': 'METEOJOB', 'url': 'https://www.meteojob.com/candidat/offres/offre-d-emploi-developpeur-informatique-h-f-chateau-thierry-picardie-interim-cdi-13437911'}];https://candidat.pole-emploi.fr/offres/recherche/detail/1567405;Mensuel de 2300,00 Euros;;;;;;;;;;;;;;;;;;;;;;;;;
False;Développeur / Développeuse informatique;[];2020-07-15T00:00:00+02:00;2020-06-22T14:41:03+02:00;"Nous recherchons un développeur ACCESS H/F pour travailler dans une industrie sur le secteur de Château-Thierry.
Tâches :
- Apprendre le CRM access/Novareport avec une formation en interne
- Assurer la maintenance, MAJ et petites évolutions dans la mesure du possible sur access
- Apprendre le logiciel Novalogi avec avec une formation en interne
- Apprendre l'opérationnel de Novalogi avec une formation en interne
- Assurer les remplacements du responsable de la contactologie pendant ses congés environ 2h par jour
- Apprendre la gestion du module RFA sous access avec une formation en interne.

   À long terme :
-  Être l'interlocuteur pour toutes applications access existants
- Être chef de projet et développeur du nouveau CRM qui reste à définir.
Profil : BAC+2 :  BTS services informatiques aux organisations / DUT Informatique ou équivalent. Horaires : journée /Salaire : 2300€ BRUT/mois / Longue mission";Temps plein;;E;2 ans;[];102QDJY;Développeur / Développeuse informatique (H/F);[];Contrat travail;1;6;Employé qualifié;M1805;Études et développement informatique;MIS;Mission intérimaire - 6 Mois;GROUPE MORGAN SERVICES;2400.0;2168.0;49.04638889;02 - CHATEAU THIERRY;3.403055555;1;[];https://candidat.pole-emploi.fr/offres/recherche/detail/102QDJY;Mensuel de 2200,00 Euros à 2300,00 Euros sur 12 mois;False;35H Horaires normaux;[{'description': 'Capacité à transmettre clairement des informations, à échanger, à écouter activement, à réceptionner des informations et messages et à faire preuve d’ouverture d’esprit. Exemple : être à l’écoute, être attentif aux autres', 'libelle': 'Sens de la communication'}, {'description': 'Capacité à prendre en charge son activité sans devoir être encadré de façon continue. Exemple : travailler efficacement sans responsable', 'libelle': 'Autonomie'}, {'description': 'Capacité à être proactif, à initier, à imaginer des propositions nouvelles pour résoudre les problèmes identifiés ou pour améliorer une situation. Exemple : proposer des améliorations, être positif et constructif', 'libelle': 'Force de proposition'}];78.0;Activités des agences de travail temporaire;1 ou 2 salariés;Courriel : chateauthierry@groupe-morgan-services.fr;chateauthierry@groupe-morgan-services.fr;GROUPE MORGAN SERVICES - Mme SERVICES MORGAN;mail : chateauthierry@groupe-morgan-services.fr;https://entreprise.pole-emploi.fr/static/img/logos/DZezlcA0gdg6CAHLVZJRnoEB2a5IrI1S.png;http://www.groupe-morgan-services.fr;;;;;;;;;;;;;
False;Administrateur / Administratrice système informatique;[];2020-07-01T21:29:49+02:00;2020-07-01T21:29:49+02:00;"Administrateur Linux/Docker/Dev python Développement : Bash, Python, PHP, HTML / javascript / CSS
Système d'exploitation : Linux
Déploiement/Intégration : Docker, Ansible, GIT/SVN, Gitlab CI
Logiciels : Apache, Varnish, Nginx, Memcached / redis 
Technologies Cloud : Openstack, Cloudfundry";Non renseigné;;D;Débutant accepté;[];1986299;Administrateur Linux/Docker/Dev python (H/F);[];Emploi non salarié;1;X;;M1801;Administration de systèmes d'information;LIB;Profession libérale;;6000.0;6088.0;43.70194444;06 - NICE;7.268333332;2;[{'logo': 'https://www.pole-emploi.fr/static/img/partenaires/jobijoba80.png', 'nom': 'JOBIJOBA', 'url': 'https://www.jobijoba.com/fr/annonce/26/99c4f656b4763d94531f2f07fe5d034d'}];https://candidat.pole-emploi.fr/offres/recherche/detail/1986299;;;;;;;;;;;;;;;;;;;;;;;;;;
False;Développeur / Développeuse informatique;[];2020-07-01T21:27:44+02:00;2020-07-01T21:27:44+02:00;"Développeur python/GoDéveloppeur Python / Go
Développement de services cloud de base de donnée
technologie cloud : Cloudfoundry, Docker (Swarm / Kubernetes)
Minimum 3 ans d'expérience, mais 8-10 ans serait un avantage";Non renseigné;;D;Débutant accepté;[];1985781;Développeur python/Go (H/F);[];Emploi non salarié;1;X;;M1805;Études et développement informatique;LIB;Profession libérale;;6000.0;6088.0;43.70194444;06 - NICE;7.268333332;2;[{'logo': 'https://www.pole-emploi.fr/static/img/partenaires/jobijoba80.png', 'nom': 'JOBIJOBA', 'url': 'https://www.jobijoba.com/fr/annonce/26/bb4d1c9c652ab69061ff87719163187a'}];https://candidat.pole-emploi.fr/offres/recherche/detail/1985781;;;;;;;;;;;;;;;;;;;;;;;;;;
False;Ingénieur / Ingénieure d'étude et développement informatique;[{'code': '118637', 'exigence': 'S', 'libelle': 'Analyser les besoins du client'}, {'code': '109846', 'exigence': 'S', 'libelle': 'Concevoir et développer les programmes et applications informatiques'}, {'code': '120370', 'exigence': 'S', 'libelle': 'Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques'}, {'code': '117309', 'exigence': 'S', 'libelle': 'Établir un cahier des charges'}, {'code': '124517', 'exigence': 'S', 'libelle': 'Rédiger une Spécification Technique de Besoin (STB)'}];2020-07-06T00:00:00+02:00;2020-06-17T09:30:31+02:00;"Nous recherchons notre futur Ingénieur étude et développement Python pour rejoindre notre équipe de Sophia Antipolis. Vous interviendrez sur différents projets chez nos clients, des leaders reconnus.
Vous participerez activement à : 
 
- L'analyse et la formalisation des besoins des utilisateurs 
- La rédaction des spécifications techniques
- La conception technique
- La réalisation et le développement des applications
- Le déroulement des phases de tests et de qualification conformément aux spécifications

Ingénieur informatique ou de formation équivalente, vous justifiez d'une première expérience sur un poste similaire en environnement Python. 
Rigoureux, autonome, team-player, réactif et impliqué, vous démontrez un grand sens des responsabilités. La maîtrise de l'anglais est une plus value. Alors venez vivre l'expérience au sein d'une société dynamique et innovante !
";Temps plein;;D;Débutant accepté;[{'codeFormation': '99999', 'commentaire': 'Pas de commentaire formation', 'exigence': 'S', 'niveauLibelle': 'Bac+5 et plus ou équivalents'}];102LSNT;Ingénieur étude et développement Python  (H/F);[];Contrat travail;1;9;Cadre;M1805;Études et développement informatique;CDI;Contrat à durée indéterminée;CLEEVEN SE;6410.0;6018.0;43.62861111;06 - BIOT;7.095555555;1;[];https://candidat.pole-emploi.fr/offres/recherche/detail/102LSNT;Annuel de 25000,00 Euros à 45000,00 Euros sur 12 mois;False;35H Horaires normaux;;71.0;Ingénierie, études techniques;10 à 19 salariés;Courriel : contact-se@cleeven.com;contact-se@cleeven.com;CLEEVEN SE - Mme Laura Burcklé;"Cleeven, Cabinet de conseil en technologie s'est construit autour de deux fortes convictions :
L'excellence des Ingénieurs européens doit assurer la compétitivité mondiale
Notre mission humaine ; l'accompagnement de nos collaborateurs dans leur développement personnel.
Ces convictions se déclinent en implications concrètes dans le quotidien de chacun.";;http://www.cleeven.com;;;;;;;;;;;;;
True;Webmaster développeur / développeuse;[{'code': '118637', 'exigence': 'S', 'libelle': 'Analyser les besoins du client'}, {'code': '109846', 'exigence': 'S', 'libelle': 'Concevoir et développer les programmes et applications informatiques'}, {'code': '121055', 'exigence': 'S', 'libelle': 'Déterminer des mesures correctives'}, {'code': '102788', 'exigence': 'S', 'libelle': 'Langage informatique HTML'}, {'code': '109881', 'exigence': 'S', 'libelle': 'Langage informatique PHP'}, {'code': '113798', 'exigence': 'S', 'libelle': 'Langage informatique Python'}, {'code': '109882', 'exigence': 'S', 'libelle': 'Langage informatique SQL'}];2020-07-10T00:00:00+02:00;2020-06-15T12:38:43+02:00;"Dans nos bureaux basés à Cagnes sur mer, vous rejoindrez l'équipe technique afin d'améliorer l'expérience utilisateur de nos différents solutions Web et Mobiles.

Pour cela, vous aurez pour missions :
UX / UI pour des sites webs et mobiles existants
UX / UI pour de futurs projets
Réaliser tout support graphique utile à nos opérations de communication (Digital, Web, Social Media, Print)

Environnement dans lequel vous évoluerez:
Ambiance familiale avec une équipe restreinte et réactive
PME dynamique et à taille humaine
Poste avec grande autonomie
*Offre disponible pour une alternance

Compétences
Bonne compétence HTML / CSS / JavaScript
Vif, très porté sur les évolutions technologiques et leurs impacts sur les bonnes pratiques UX/UI
Maîtrise de la suite Adobe (Photoshop, InDesign, Illustrator)
Compétences en design Web indispensable
Aptitude à travailler en équipe et bon relationnel
Rigoureux, autonome, dynamique
Multi-tâches et prises d'initiatives";Temps plein;;E;1 an;[];102JZNN;Alternance/ Développeur Web Front / Ux Ui designer      (H/F);[];Contrat apprentissage;1;8;Agent de maîtrise;M1805;Études et développement informatique;CDD;Contrat à durée déterminée - 12 Mois;VOCALSMS - 1SMS - SMSPARIS - SMSTEL SM;6800.0;6027.0;43.66361111;06 - CAGNES SUR MER;7.148333332999999;1;[];https://candidat.pole-emploi.fr/offres/recherche/detail/102JZNN;Mensuel de 1522,00 Euros à 1522,00 Euros sur 12 mois;False;35H Horaires normaux;"[{'description': 'Capacité à prendre en charge son activité sans devoir être encadré de façon continue. Exemple : travailler efficacement sans responsable', 'libelle': 'Autonomie'}, {'description': 'Capacité à respecter les règles et codes de l’entreprise; à réaliser des tâches en suivant avec précision les procédures et instructions fournies ; à transmettre des informations avec exactitude. Exemple : être ponctuel, respecter les engagements, résister à la distraction', 'libelle': 'Rigueur'}, {'description': 'Capacité à être proactif, à initier, à imaginer des propositions nouvelles pour résoudre les problèmes identifiés ou pour améliorer une situation. Exemple : proposer des améliorations, être positif et constructif', 'libelle': 'Force de proposition'}]";62.0;Programmation informatique;0 salarié;Courriel : carriere@dixdata.com;carriere@dixdata.com;VOCALSMS - 1SMS - SMSPARIS - SMSTEL SM - M. Xavier LANGEVIN;"Dixdata est un opérateur télécom 100% français et un facilitateur SMS depuis 2002.
Le société propose sa solution iSendPro Telecom, plateforme de routage multicanal, à tout type de professionnels.
Basée à Cagnes sur Mer, Marseille et Lyon, iSendPro Telecom est un acteur majeur sur son marché.
Avec plus de 5 millions de CA en 2018 et 15 000 clients, la société propose des actions de fidélisation et d'acquisition par SMS et email.";https://entreprise.pole-emploi.fr/static/img/logos/btqzLXIMsMfyxObkt5wnYSlFSqROBb9B.png;http://www.isendpro.com/;;;;;;;;;;;;;
False;Ingénieur / Ingénieure logiciel informatique;"[{'code': '104564', 'exigence': 'E', 'libelle': 'Langage informatique C/C++'}, {'code': '113798', 'exigence': 'E', 'libelle': 'Langage informatique Python'}, {'exigence': 'E', 'libelle': 'connaissance des méthodes de validation'}, {'code': '118305', 'exigence': 'S', 'libelle': 'Système embarqué'}, {'exigence': 'S', 'libelle': ""Connaissance d'une norme telecom sans fil""}, {'exigence': 'S', 'libelle': 'Debug de test'}, {'exigence': 'S', 'libelle': 'Eclipse, SVN'}]";2020-07-15T00:00:00+02:00;2020-06-15T11:21:14+02:00;"Dans le cadre de notre croissance, nous recherchons un(e) INGENIEUR VALIDATION dans le département Bluetooth.Dans un premier temps, vous serez particulièrement impliqué dans les tâches suivantes:
-Etude des modules à valider (Bluetooth Host, Audio)
-validation des fonctionnalités Bluetooth Host
-définition, développement et exécution d'une suite de test en Python
-développement d'application de test en Python et C
- participation à la qualification de nos produit BT

En fonction de votre profil, vous pourrez ainsi être amené à intervenir sur de multiples phases du projet, notamment :
-Rédaction des plans de validation et de test des nouvelles IPs
- Test dans un environnement simulé et physique (prototypes)
- Rédaction des comptes rendus de test
- Suivi des corrections et de la qualité de notre IP
- développement d'application en C ou Python ainsi que d'interface graphique en PyQt
- support des équipes de développement HW et SW et potentiellement des clients";Temps plein;;E;3 ans;[{'codeFormation': '70000', 'commentaire': 'Ingénieur informatique', 'domaineLibelle': 'Logiciels/outils/applications/services', 'exigence': 'E', 'niveauLibelle': 'Bac+5 et plus ou équivalents'}];102JWJZ;Ingénieur / Ingénieure validation logiciel informatique  (H/F);[{'exigence': 'S', 'libelle': 'Anglais Courant Souhaité'}];Contrat travail;1;9;Cadre;M1805;Études et développement informatique;CDI;Contrat à durée indéterminée;RIVIERAWAVES;6410.0;6018.0;43.62861111;06 - BIOT;7.095555555;1;[];https://candidat.pole-emploi.fr/offres/recherche/detail/102JWJZ;;False;36H36 Horaires normaux;"[{'description': 'Capacité à travailler et à se coordonner avec les autres au sein de l’entreprise en confiance et en transparence pour réaliser les objectifs fixés. Exemple : aider ses collègues, savoir demander de l’aide', 'libelle': 'Travail en équipe'}, {'description': 'Capacité à planifier, à prioriser, à anticiper des actions en tenant compte des moyens, des ressources, des objectifs et du calendrier pour les réaliser. Exemple : planifier, ordonner ses actions par priorité', 'libelle': 'Sens de l’organisation'}, {'description': 'Capacité à respecter les règles et codes de l’entreprise; à réaliser des tâches en suivant avec précision les procédures et instructions fournies ; à transmettre des informations avec exactitude. Exemple : être ponctuel, respecter les engagements, résister à la distraction', 'libelle': 'Rigueur'}]";71.0;Ingénierie, études techniques;20 à 49 salariés;https://www.ceva-dsp.com/job/validation-engineer-m-f/;;RIVIERAWAVES - Mme Alexandra Mesens;"RivieraWaves est spécialisé dans la vente de licences de coeurs d IP semi-conducteurs dans les domaines de la connectivité sans fil. Nous sommes leaders sur le marché de solutions complètes d'IP Bluetooth et 
Wi-Fi. RivieraWaves a la capacité de fournir des coeurs numériques, du logiciel embarqué et de la RF, permettant une entrée rapide sur le marché. Nous proposons aussi des services de conception associés pour l'intégration et la personnalisation de nos solutions.";https://entreprise.pole-emploi.fr/static/img/logos/KDHyEbXJ7waoLNeQ8lSAg5KWKyBqzUVT.png;http://www.ceva-dsp.com/product/rivierawaves-wi-fi-platforms/;1.0;Jamais;https://www.ceva-dsp.com/job/validation-engineer-m-f/;Selon profil;Chèque repas;Selon profil;;;;;;;
False;Consultant / Consultante informatique;"[{'exigence': 'E', 'libelle': 'maîtrise Apache/Tomcat'}, {'exigence': 'E', 'libelle': ""outils d'automatisation systèmes : Puppet ou Chef""}, {'exigence': 'E', 'libelle': 'Scripting en Python ou Ruby, Shell, Php'}, {'exigence': 'E', 'libelle': 'solutions IAAS / PAAS (Cloud Foundry / Open stack)'}, {'exigence': 'E', 'libelle': 'systèmes Linux, et univers LAMP'}, {'code': '120327', 'exigence': 'S', 'libelle': 'Analyser les processus métier'}, {'code': '120324', 'exigence': 'S', 'libelle': 'Définir des solutions fonctionnelles'}, {'code': '113547', 'exigence': 'S', 'libelle': ""Définir la faisabilité et la rentabilité d'un projet""}, {'code': '120325', 'exigence': 'S', 'libelle': ""Présenter les évolutions du système d'information au commanditaire""}, {'exigence': 'S', 'libelle': 'connaissance de Docker'}, {'exigence': 'S', 'libelle': 'gestion de base de données SQL / bigData'}, {'exigence': 'S', 'libelle': 'infras Web, des solutions cloud (AWS / Azure)'}]";2020-06-25T00:00:00+02:00;2020-03-27T08:25:51+01:00;"Pour accompagner nos clients dans la réussite de leur transformation digitale, nous recherchons des Consultant(e)s attiré(e)s par la culture DevOps, qui évolueront au sein d'équipes multifonctionnelles et de projets de grande envergure, l'ingénieur devra contribuer au BUILD et au RUN des solutions et applications de nos client.
L'ingénieur travaillera au sein d'une équipe AGILE composée d'exploitants, de développeurs, d'architectes techniques, de chefs de projet et de testeurs fonctionnels. 
-	Prendre part à la conception des projets afin de positionner les contraintes d'exploitation en amont
-	Assurer l'interface entre les équipes de Développement et d'Hébergement afin de déterminer une solution technique adéquate
-	Participer à l'intégration et à la mise en production des produits
-	Contribuer à la mise en place et à l'amélioration des processus de développement et des systèmes de mise en ligne (build process)
Une expérience des pratiques DevOps et des méthodes Agiles serait un plus.";Temps plein;;E;2 ans;[{'codeFormation': '31054', 'commentaire': 'Pas de commentaire formation', 'domaineLibelle': 'Informatique', 'exigence': 'E', 'niveauLibelle': 'Bac+3, Bac+4 ou équivalents'}, {'codeFormation': '31054', 'commentaire': 'Pas de commentaire formation', 'domaineLibelle': 'Informatique', 'exigence': 'S', 'niveauLibelle': 'Bac+5 et plus ou équivalents'}];100WKGJ;Consultant H/F DevOps (H/F) H/F;[];Contrat travail;1;9;Cadre;M1806;Conseil et maîtrise d'ouvrage en systèmes d'information;CDI;Contrat à durée indéterminée;GFI INFORMATIQUE;6560.0;6152.0;43.64138889;06 - VALBONNE;7.0088888879999995;1;[];https://candidat.pole-emploi.fr/offres/recherche/detail/100WKGJ;Annuel de 35000,00 Euros à 38000,00 Euros sur 13 mois;False;37H Horaires normaux;[{'description': 'Capacité à s’adapter à des situations variées et à s’ajuster à des organisations, des collectifs de travail, des habitudes et des valeurs propres à l’entreprise. Exemple : être souple, agile, s’adapter à une situation imprévue', 'libelle': 'Capacité d’adaptation'}, {'description': 'Capacité à travailler et à se coordonner avec les autres au sein de l’entreprise en confiance et en transparence pour réaliser les objectifs fixés. Exemple : aider ses collègues, savoir demander de l’aide', 'libelle': 'Travail en équipe'}, {'description': 'Capacité à transmettre clairement des informations, à échanger, à écouter activement, à réceptionner des informations et messages et à faire preuve d’ouverture d’esprit. Exemple : être à l’écoute, être attentif aux autres', 'libelle': 'Sens de la communication'}];62.0;Conseil en systèmes et logiciels informatiques;100 à 199 salariés;1547 CHEMIN des Combes;;Pôle Emploi ANTIBES SOPHIA;Gfi Informatique est dans le top 10 des Entreprises du Numérique. Grâce à nos 20000 collaborateurs dont 14000 en France, nous accompagnons les entreprises dans leur transformation digitale.  Venez partagez vos compétences, vos savoir-faire au sein de nos équipes et exprimez votre audace au sein d'un Groupe qui bouge !   La division Méditerranée compte environ 500 collaborateurs sur 3 agences (Montpellier, Aix-en-Provence et Sophia-Antipolis).;https://entreprise.pole-emploi.fr/static/img/logos/9acI8ea5u51mMA0wSCYyCrKEP66fYckn.png;http://www.gfi.world;1.0;Jamais;;;Chèque repas;Mutuelle;ape.06045@pole-emploi.fr;06600 ANTIBES;Courriel : ape.06045@pole-emploi.fr;;;;
