,date,product,machine
1,2020-11-12 12:03:05,soda,A
2,2020-11-12 12:10:53,refill,A
3,2020-11-12 12:20:53,coffee,A
4,2020-11-12 12:21:18,coffee,A
5,2020-11-12 12:32:14,soda,A
6,2020-11-12 12:33:41,coffee,A
7,2020-11-12 12:44:59,coffee,A
9,2020-11-12 12:54:10,soda,A
10,2020-11-12 12:54:52,soda,A
11,2020-11-12 12:56:47,refill,B
12,2020-11-12 13:03:47,coffee,B
13,2020-11-12 13:08:14,soda,B
14,2020-11-12 13:10:15,coffee,A
15,2020-11-12 13:20:23,soda,A
16,2020-11-12 13:22:34,coffee,B
17,2020-11-12 13:25:41,coffee,B
18,2020-11-12 13:32:01,coffee,A
19,2020-11-12 13:32:50,coffee,A
20,2020-11-12 13:38:58,coffee,A
21,2020-11-12 13:40:30,soda,B
22,2020-11-12 13:42:40,coffee,B
24,2020-11-12 13:55:42,coffee,B
25,2020-11-12 13:55:48,coffee,A
26,2020-11-12 13:58:52,refill,C
27,2020-11-12 14:00:29,coffee,B
28,2020-11-12 14:01:52,coffee,C
29,2020-11-12 14:02:10,soda,C
30,2020-11-12 14:02:13,coffee,B
31,2020-11-12 14:04:14,coffee,B
32,2020-11-12 14:04:28,soda,B
33,2020-11-12 14:11:36,coffee,A
34,2020-11-12 14:14:08,coffee,B
36,2020-11-12 14:14:47,coffee,B
37,2020-11-12 14:17:47,coffee,B
38,2020-11-12 14:18:15,coffee,B
39,2020-11-12 14:18:35,coffee,A
40,2020-11-12 14:21:13,soda,A
41,2020-11-12 14:21:27,nrj,B
42,2020-11-12 14:22:26,coffee,B
43,2020-11-12 14:25:09,coffee,B
44,2020-11-12 14:29:42,coffee,C
45,2020-11-12 14:29:53,coffee,A
46,2020-11-12 14:30:21,coffee,B
47,2020-11-12 14:33:10,coffee,C
48,2020-11-12 14:35:43,coffee,B
49,2020-11-12 14:36:00,coffee,A
50,2020-11-12 14:38:07,nrj,B
51,2020-11-12 14:41:04,soda,B
52,2020-11-12 14:41:13,coffee,C
53,2020-11-12 14:45:45,soda,B
54,2020-11-12 14:54:38,refill,D
55,2020-11-12 14:55:56,coffee,A
56,2020-11-12 14:56:13,coffee,A
57,2020-11-12 14:57:51,coffee,B
58,2020-11-12 15:01:00,soda,B
59,2020-11-12 15:01:38,coffee,D
60,2020-11-12 15:05:34,coffee,C
62,2020-11-12 15:08:39,soda,A
63,2020-11-12 15:14:51,soda,B
64,2020-11-12 15:17:07,nrj,A
65,2020-11-12 15:18:22,coffee,D
66,2020-11-12 15:19:46,coffee,B
67,2020-11-12 15:21:28,soda,C
68,2020-11-12 15:27:39,coffee,D
69,2020-11-12 15:29:31,coffee,D
70,2020-11-12 15:36:26,coffee,D
71,2020-11-12 15:42:33,coffee,D
72,2020-11-12 15:44:06,coffee,B
73,2020-11-12 15:44:41,coffee,C
75,2020-11-12 15:56:25,coffee,D
76,2020-11-12 15:59:25,soda,D
77,2020-11-12 16:03:58,coffee,B
78,2020-11-12 16:09:08,soda,A
79,2020-11-12 16:14:16,soda,B
80,2020-11-12 16:16:24,coffee,D
82,2020-11-12 16:20:06,soda,D
83,2020-11-12 16:23:57,nrj,D
84,2020-11-12 16:26:26,coffee,D
85,2020-11-12 16:28:47,soda,A
86,2020-11-12 16:28:59,coffee,D
87,2020-11-12 16:33:56,coffee,A
88,2020-11-12 16:37:26,coffee,A
89,2020-11-12 16:38:24,soda,A
90,2020-11-12 16:40:44,soda,A
91,2020-11-12 16:41:01,coffee,C
92,2020-11-12 16:46:57,soda,B
93,2020-11-12 16:47:32,coffee,D
94,2020-11-12 16:48:06,nrj,B
95,2020-11-12 16:51:18,nrj,B
96,2020-11-12 16:52:31,coffee,D
97,2020-11-12 16:56:43,coffee,A
98,2020-11-12 16:58:12,soda,D
99,2020-11-12 16:59:39,soda,B
100,2020-11-12 16:59:43,coffee,B
101,2020-11-12 17:03:47,nrj,B
102,2020-11-12 17:13:00,nrj,D
103,2020-11-12 17:14:34,soda,D
104,2020-11-12 17:31:24,coffee,C
105,2020-11-12 17:31:53,nrj,B
106,2020-11-12 17:32:39,coffee,B
107,2020-11-12 17:36:32,soda,C
108,2020-11-12 17:41:12,nrj,B
109,2020-11-12 17:46:22,nrj,B
110,2020-11-12 17:47:34,soda,B
111,2020-11-12 17:49:15,nrj,B
112,2020-11-12 17:49:57,soda,B
113,2020-11-12 17:50:55,coffee,B
114,2020-11-12 17:51:52,coffee,A
115,2020-11-12 17:54:02,coffee,D
116,2020-11-12 17:54:21,soda,C
117,2020-11-12 17:55:40,nrj,B
118,2020-11-12 17:57:02,soda,D
119,2020-11-12 18:03:44,soda,A
120,2020-11-12 18:05:25,soda,A
121,2020-11-12 18:28:15,soda,C
122,2020-11-12 18:29:20,coffee,B
123,2020-11-12 18:31:56,coffee,C
124,2020-11-12 18:32:40,soda,A
125,2020-11-12 18:42:37,nrj,D
126,2020-11-12 18:53:08,soda,C
127,2020-11-12 18:56:59,soda,B
128,2020-11-12 19:00:18,nrj,D
129,2020-11-12 19:05:31,soda,B
130,2020-11-12 19:06:10,coffee,B
131,2020-11-12 19:10:25,coffee,A
132,2020-11-12 19:12:20,soda,B
133,2020-11-12 19:12:49,coffee,A
134,2020-11-12 19:20:32,soda,B
135,2020-11-12 19:20:35,soda,A
136,2020-11-12 19:23:40,nrj,A
137,2020-11-12 19:26:53,nrj,D
138,2020-11-12 19:27:08,coffee,A
139,2020-11-12 19:27:22,nrj,B
140,2020-11-12 19:38:08,coffee,C
141,2020-11-12 19:46:09,nrj,B
142,2020-11-12 19:52:21,nrj,D
143,2020-11-12 19:57:09,soda,A
144,2020-11-12 19:59:03,nrj,D
145,2020-11-12 20:06:19,soda,B
146,2020-11-12 20:09:14,nrj,B
147,2020-11-12 20:13:55,soda,B
148,2020-11-12 20:22:12,nrj,A
149,2020-11-12 20:23:45,nrj,A
150,2020-11-12 20:25:45,nrj,D
151,2020-11-12 20:31:42,nrj,B
152,2020-11-12 20:38:15,nrj,B
153,2020-11-12 20:47:47,nrj,D
154,2020-11-12 20:48:22,nrj,B
155,2020-11-12 20:52:46,nrj,B
156,2020-11-12 20:55:14,soda,B
157,2020-11-12 20:59:27,soda,D
158,2020-11-12 21:10:20,nrj,B
159,2020-11-12 21:12:27,nrj,B
160,2020-11-12 21:15:29,nrj,A
161,2020-11-12 21:24:42,nrj,B
162,2020-11-12 21:26:41,nrj,B
164,2020-11-12 21:29:23,nrj,A
165,2020-11-12 21:31:53,nrj,B
166,2020-11-12 21:36:04,nrj,C
167,2020-11-12 21:40:49,soda,A
168,2020-11-12 21:41:43,nrj,B
169,2020-11-12 21:46:51,soda,A
170,2020-11-12 21:53:47,soda,D
171,2020-11-12 21:58:26,nrj,B
172,2020-11-12 22:02:03,nrj,D
173,2020-11-12 22:06:29,soda,A
174,2020-11-12 22:17:51,soda,B
175,2020-11-12 22:20:50,nrj,B
176,2020-11-12 22:23:03,coffee,B
177,2020-11-12 22:24:32,nrj,B
178,2020-11-12 22:26:20,soda,A
179,2020-11-12 22:26:28,soda,D
180,2020-11-12 22:37:57,nrj,B
181,2020-11-12 22:43:50,soda,B
182,2020-11-12 22:55:35,nrj,A
183,2020-11-12 22:59:43,nrj,B
184,2020-11-12 23:08:03,soda,D
185,2020-11-12 23:17:04,soda,D
186,2020-11-12 23:32:03,soda,B
187,2020-11-12 23:32:20,coffee,A
188,2020-11-12 23:32:56,nrj,B
189,2020-11-12 23:37:29,nrj,B
190,2020-11-12 23:43:03,nrj,D
191,2020-11-12 23:44:51,nrj,B
192,2020-11-12 23:55:19,coffee,D
193,2020-11-12 23:56:13,nrj,D
194,2020-11-13 00:00:14,soda,C
195,2020-11-13 00:16:55,soda,C
196,2020-11-13 00:34:32,soda,A
197,2020-11-13 00:36:24,coffee,B
198,2020-11-13 00:45:02,nrj,B
199,2020-11-13 00:48:53,coffee,A
200,2020-11-13 01:07:33,coffee,B
201,2020-11-13 01:12:24,soda,B
202,2020-11-13 01:15:42,nrj,D
203,2020-11-13 01:35:17,soda,D
204,2020-11-13 01:37:47,coffee,A
205,2020-11-13 01:50:13,soda,B
206,2020-11-13 01:50:59,nrj,B
207,2020-11-13 05:00:20,coffee,D
208,2020-11-13 05:00:27,coffee,D
209,2020-11-13 05:02:23,soda,B
210,2020-11-13 05:08:01,coffee,D
211,2020-11-13 05:09:40,coffee,A
212,2020-11-13 05:16:56,coffee,A
213,2020-11-13 05:26:40,coffee,B
214,2020-11-13 05:28:57,coffee,A
215,2020-11-13 05:29:22,coffee,D
216,2020-11-13 05:37:30,coffee,B
217,2020-11-13 05:43:40,coffee,D
218,2020-11-13 05:46:50,coffee,A
219,2020-11-13 05:59:16,soda,B
220,2020-11-13 06:05:59,soda,B
221,2020-11-13 06:07:18,coffee,D
222,2020-11-13 06:10:49,coffee,B
223,2020-11-13 06:12:08,soda,C
224,2020-11-13 06:12:40,soda,B
225,2020-11-13 06:13:04,soda,A
226,2020-11-13 06:18:18,coffee,A
227,2020-11-13 06:21:27,coffee,C
228,2020-11-13 06:26:33,coffee,D
229,2020-11-13 06:29:32,coffee,B
230,2020-11-13 06:30:16,coffee,A
231,2020-11-13 06:34:53,soda,B
232,2020-11-13 06:37:33,coffee,B
233,2020-11-13 06:37:46,coffee,C
234,2020-11-13 06:38:31,coffee,A
235,2020-11-13 06:40:24,soda,B
236,2020-11-13 06:41:04,coffee,B
237,2020-11-13 06:41:10,soda,A
238,2020-11-13 06:41:45,coffee,D
239,2020-11-13 06:48:32,coffee,C
240,2020-11-13 06:48:51,coffee,C
241,2020-11-13 06:49:50,soda,B
242,2020-11-13 06:50:20,coffee,B
243,2020-11-13 06:50:28,coffee,B
244,2020-11-13 06:58:42,coffee,A
245,2020-11-13 07:00:34,coffee,B
246,2020-11-13 07:01:41,coffee,B
247,2020-11-13 07:03:37,coffee,B
248,2020-11-13 07:03:44,soda,D
249,2020-11-13 07:04:33,coffee,D
250,2020-11-13 07:04:52,coffee,B
251,2020-11-13 07:06:35,coffee,C
252,2020-11-13 07:06:56,coffee,B
253,2020-11-13 07:06:57,coffee,B
254,2020-11-13 07:08:41,coffee,B
255,2020-11-13 07:09:46,soda,D
256,2020-11-13 07:13:11,coffee,C
257,2020-11-13 07:13:21,coffee,C
258,2020-11-13 07:16:49,soda,D
259,2020-11-13 07:19:38,coffee,D
260,2020-11-13 07:21:30,coffee,B
261,2020-11-13 07:22:30,coffee,D
262,2020-11-13 07:23:13,coffee,D
263,2020-11-13 07:23:31,soda,A
264,2020-11-13 07:25:28,coffee,B
265,2020-11-13 07:25:50,coffee,A
266,2020-11-13 07:26:32,coffee,A
267,2020-11-13 07:27:53,coffee,C
268,2020-11-13 07:27:54,coffee,B
269,2020-11-13 07:29:54,soda,D
270,2020-11-13 07:31:33,coffee,D
271,2020-11-13 07:32:06,soda,D
272,2020-11-13 07:32:57,coffee,C
273,2020-11-13 07:33:49,soda,C
274,2020-11-13 07:35:26,coffee,C
275,2020-11-13 07:35:56,coffee,C
276,2020-11-13 07:36:44,coffee,A
277,2020-11-13 07:37:15,coffee,A
278,2020-11-13 07:37:40,coffee,D
279,2020-11-13 07:39:35,soda,C
280,2020-11-13 07:40:07,coffee,A
281,2020-11-13 07:42:14,soda,D
282,2020-11-13 07:47:04,coffee,B
283,2020-11-13 07:47:09,coffee,A
284,2020-11-13 07:48:57,coffee,B
285,2020-11-13 07:49:00,soda,D
286,2020-11-13 07:49:22,coffee,D
287,2020-11-13 07:50:07,coffee,D
288,2020-11-13 07:55:42,coffee,A
289,2020-11-13 07:58:49,soda,D
290,2020-11-13 08:02:42,coffee,D
291,2020-11-13 08:02:56,coffee,B
292,2020-11-13 08:03:39,soda,D
293,2020-11-13 08:05:47,coffee,D
294,2020-11-13 08:09:08,coffee,D
295,2020-11-13 08:09:44,coffee,A
296,2020-11-13 08:10:15,coffee,D
297,2020-11-13 08:13:46,coffee,D
298,2020-11-13 08:15:06,coffee,A
299,2020-11-13 08:16:41,soda,B
300,2020-11-13 08:19:23,coffee,B
301,2020-11-13 08:22:59,coffee,B
302,2020-11-13 08:25:02,coffee,C
303,2020-11-13 08:25:34,soda,B
304,2020-11-13 08:26:24,coffee,D
305,2020-11-13 08:29:30,coffee,A
306,2020-11-13 08:29:47,coffee,B
307,2020-11-13 08:31:58,coffee,B
308,2020-11-13 08:33:14,coffee,B
309,2020-11-13 08:33:28,coffee,B
310,2020-11-13 08:34:52,soda,B
311,2020-11-13 08:37:21,coffee,D
312,2020-11-13 08:37:23,coffee,A
313,2020-11-13 08:37:48,coffee,D
314,2020-11-13 08:41:02,coffee,B
315,2020-11-13 08:41:23,coffee,B
316,2020-11-13 08:41:38,soda,A
317,2020-11-13 08:42:10,coffee,D
318,2020-11-13 08:43:28,coffee,C
319,2020-11-13 08:44:38,coffee,D
320,2020-11-13 08:45:04,coffee,B
321,2020-11-13 08:46:32,coffee,B
322,2020-11-13 08:49:03,coffee,A
323,2020-11-13 08:49:35,soda,A
324,2020-11-13 08:49:46,coffee,B
325,2020-11-13 08:52:09,soda,C
326,2020-11-13 08:53:07,coffee,A
327,2020-11-13 08:53:33,coffee,A
328,2020-11-13 08:55:42,soda,B
329,2020-11-13 08:56:00,coffee,A
330,2020-11-13 08:56:46,coffee,D
331,2020-11-13 08:58:30,soda,C
332,2020-11-13 09:01:01,coffee,B
333,2020-11-13 09:01:02,coffee,D
334,2020-11-13 09:02:42,coffee,C
335,2020-11-13 09:05:50,coffee,B
336,2020-11-13 09:06:09,coffee,C
337,2020-11-13 09:07:06,coffee,D
338,2020-11-13 09:07:59,coffee,B
339,2020-11-13 09:08:09,coffee,B
340,2020-11-13 09:09:13,coffee,A
341,2020-11-13 09:10:08,soda,A
342,2020-11-13 09:10:20,soda,C
343,2020-11-13 09:12:19,soda,B
344,2020-11-13 09:15:01,coffee,C
345,2020-11-13 09:15:47,coffee,D
346,2020-11-13 09:15:53,coffee,A
347,2020-11-13 09:16:40,coffee,C
348,2020-11-13 09:17:28,soda,D
349,2020-11-13 09:17:41,coffee,B
350,2020-11-13 09:30:30,coffee,A
351,2020-11-13 09:31:51,coffee,C
352,2020-11-13 09:32:05,coffee,D
353,2020-11-13 09:32:43,coffee,D
354,2020-11-13 09:34:50,soda,D
355,2020-11-13 09:34:58,soda,B
356,2020-11-13 09:36:47,soda,C
357,2020-11-13 09:37:22,coffee,B
358,2020-11-13 09:38:25,coffee,C
359,2020-11-13 09:40:30,coffee,D
360,2020-11-13 09:40:50,soda,A
361,2020-11-13 09:41:08,coffee,C
362,2020-11-13 09:41:18,soda,B
363,2020-11-13 09:43:40,coffee,D
364,2020-11-13 09:43:57,coffee,A
365,2020-11-13 09:49:39,coffee,D
366,2020-11-13 09:49:43,coffee,B
367,2020-11-13 09:50:18,coffee,D
368,2020-11-13 09:51:11,coffee,C
369,2020-11-13 09:52:12,coffee,C
370,2020-11-13 09:52:35,coffee,D
371,2020-11-13 09:53:07,coffee,B
372,2020-11-13 09:54:56,coffee,D
373,2020-11-13 09:57:08,coffee,B
374,2020-11-13 09:59:41,coffee,C
375,2020-11-13 09:59:46,coffee,C
376,2020-11-13 09:59:53,coffee,A
377,2020-11-13 10:00:08,coffee,D
378,2020-11-13 10:03:34,coffee,B
379,2020-11-13 10:07:19,coffee,C
380,2020-11-13 10:07:56,soda,A
381,2020-11-13 10:08:35,coffee,D
382,2020-11-13 10:10:04,coffee,D
383,2020-11-13 10:10:08,soda,A
384,2020-11-13 10:15:18,coffee,B
385,2020-11-13 10:15:37,coffee,D
386,2020-11-13 10:16:06,coffee,A
387,2020-11-13 10:16:12,coffee,D
388,2020-11-13 10:16:38,coffee,B
389,2020-11-13 10:18:45,coffee,C
390,2020-11-13 10:18:58,coffee,B
391,2020-11-13 10:24:51,soda,B
392,2020-11-13 10:26:16,coffee,B
393,2020-11-13 10:27:39,coffee,D
394,2020-11-13 10:29:41,soda,B
395,2020-11-13 10:29:47,soda,D
396,2020-11-13 10:29:54,coffee,B
397,2020-11-13 10:30:38,coffee,D
398,2020-11-13 10:30:39,coffee,B
399,2020-11-13 10:36:50,coffee,B
400,2020-11-13 10:43:28,coffee,B
401,2020-11-13 10:44:00,coffee,D
402,2020-11-13 10:44:16,coffee,D
403,2020-11-13 10:46:13,soda,D
404,2020-11-13 10:48:47,coffee,D
405,2020-11-13 10:49:26,soda,B
406,2020-11-13 10:50:42,coffee,B
407,2020-11-13 10:52:22,coffee,D
408,2020-11-13 10:52:33,coffee,D
409,2020-11-13 10:57:23,coffee,D
410,2020-11-13 10:58:05,coffee,B
411,2020-11-13 10:59:56,coffee,A
412,2020-11-13 11:00:27,coffee,B
413,2020-11-13 11:03:29,coffee,C
414,2020-11-13 11:03:34,soda,B
415,2020-11-13 11:03:59,soda,D
416,2020-11-13 11:04:14,coffee,A
417,2020-11-13 11:04:52,coffee,C
418,2020-11-13 11:05:28,coffee,A
419,2020-11-13 11:08:43,soda,C
420,2020-11-13 11:11:41,coffee,B
421,2020-11-13 11:12:27,coffee,A
422,2020-11-13 11:15:07,coffee,C
423,2020-11-13 11:16:44,coffee,B
424,2020-11-13 11:18:25,coffee,B
425,2020-11-13 11:20:14,coffee,B
426,2020-11-13 11:21:25,soda,A
427,2020-11-13 11:22:04,coffee,B
428,2020-11-13 11:23:20,soda,D
429,2020-11-13 11:23:30,coffee,A
430,2020-11-13 11:24:15,soda,D
431,2020-11-13 11:24:15,soda,B
432,2020-11-13 11:25:25,coffee,C
433,2020-11-13 11:26:42,coffee,D
434,2020-11-13 11:26:44,coffee,C
435,2020-11-13 11:27:28,coffee,C
436,2020-11-13 11:29:21,coffee,A
437,2020-11-13 11:33:09,coffee,B
438,2020-11-13 11:33:24,coffee,A
439,2020-11-13 11:33:58,coffee,B
440,2020-11-13 11:36:33,coffee,C
441,2020-11-13 11:37:15,coffee,C
442,2020-11-13 11:38:01,coffee,B
443,2020-11-13 11:40:57,coffee,A
444,2020-11-13 11:43:16,coffee,C
445,2020-11-13 11:43:37,coffee,D
446,2020-11-13 11:46:56,coffee,C
447,2020-11-13 11:47:25,soda,C
448,2020-11-13 11:48:25,coffee,D
449,2020-11-13 11:49:05,coffee,D
450,2020-11-13 11:51:12,coffee,D
451,2020-11-13 11:52:06,coffee,A
452,2020-11-13 11:52:16,coffee,B
453,2020-11-13 11:52:21,coffee,D
454,2020-11-13 11:54:10,soda,A
455,2020-11-13 11:55:12,soda,B
456,2020-11-13 11:56:33,soda,C
457,2020-11-13 11:56:34,soda,B
458,2020-11-13 11:56:42,coffee,B
459,2020-11-13 11:57:09,soda,B
460,2020-11-13 11:57:13,soda,D
461,2020-11-13 11:58:29,coffee,B
462,2020-11-13 12:01:51,coffee,A
463,2020-11-13 12:03:15,coffee,C
464,2020-11-13 12:06:34,soda,B
465,2020-11-13 12:06:54,soda,B
466,2020-11-13 12:07:25,coffee,A
467,2020-11-13 12:09:18,soda,D
