,date,product
46,2019-01-02 08:01:15,coffee
152,2019-01-02 08:02:58,coffee
34,2019-01-02 08:03:36,coffee
89,2019-01-02 08:05:49,coffee
160,2019-01-02 08:07:12,coffee
14,2019-01-02 08:14:36,coffee
155,2019-01-02 08:20:01,coffee
91,2019-01-02 08:24:39,coffee
72,2019-01-02 08:26:06,coffee
67,2019-01-02 08:26:57,coffee
11,2019-01-02 08:28:45,soda
90,2019-01-02 08:33:03,coffee
16,2019-01-02 08:40:58,coffee
131,2019-01-02 08:48:08,coffee
130,2019-01-02 08:48:47,coffee
140,2019-01-02 08:51:05,coffee
30,2019-01-02 08:51:14,coffee
87,2019-01-02 08:52:48,coffee
31,2019-01-02 08:53:01,coffee
97,2019-01-02 08:53:07,coffee
83,2019-01-02 08:54:27,coffee
13,2019-01-02 09:03:19,soda
93,2019-01-02 09:10:48,coffee
3,2019-01-02 09:11:20,coffee
25,2019-01-02 09:12:11,coffee
40,2019-01-02 09:16:05,coffee
56,2019-01-02 09:17:52,coffee
0,2019-01-02 09:18:00,ice cream
12,2019-01-02 09:18:48,hot chocolate
116,2019-01-02 09:19:18,coffee
20,2019-01-02 09:20:55,soda
15,2019-01-02 09:23:13,coffee
150,2019-01-02 09:23:27,coffee
26,2019-01-02 09:23:32,coffee
20,2019-01-02 09:27:14,coffee
132,2019-01-02 09:27:53,coffee
58,2019-01-02 09:29:37,coffee
17,2019-01-02 09:35:12,coffee
36,2019-01-02 09:43:19,coffee
154,2019-01-02 09:43:52,coffee
157,2019-01-02 09:45:22,coffee
81,2019-01-02 09:50:24,coffee
26,2019-01-02 09:55:19,soda
148,2019-01-02 10:05:37,coffee
15,2019-01-02 10:06:44,soda
8,2019-01-02 10:15:33,coffee
39,2019-01-02 10:22:25,coffee
66,2019-01-02 10:23:09,coffee
162,2019-01-02 10:23:23,coffee
3,2019-01-02 10:24:41,soda
99,2019-01-02 10:31:59,coffee
126,2019-01-02 10:35:12,coffee
159,2019-01-02 10:36:59,coffee
146,2019-01-02 10:40:25,coffee
106,2019-01-02 10:42:11,coffee
139,2019-01-02 10:50:37,coffee
1,2019-01-02 10:51:25,ice cream
0,2019-01-02 10:52:58,soda
4,2019-01-02 10:55:53,ice cream
25,2019-01-02 10:57:54,soda
111,2019-01-02 11:00:15,coffee
74,2019-01-02 11:02:10,coffee
75,2019-01-02 11:11:19,coffee
28,2019-01-02 11:18:26,soda
112,2019-01-02 11:22:12,coffee
27,2019-01-02 11:22:13,coffee
3,2019-01-02 11:22:27,ice cream
105,2019-01-02 11:27:19,coffee
6,2019-01-02 11:27:46,coffee
164,2019-01-02 11:35:40,coffee
10,2019-01-02 11:40:27,soda
44,2019-01-02 11:40:40,coffee
33,2019-01-02 11:48:03,coffee
151,2019-01-02 11:49:33,coffee
19,2019-01-02 11:51:59,soda
53,2019-01-02 11:52:24,coffee
147,2019-01-02 11:58:08,coffee
1,2019-01-02 11:59:09,coffee
143,2019-01-02 12:05:25,coffee
48,2019-01-02 12:06:32,coffee
88,2019-01-02 12:10:31,coffee
95,2019-01-02 12:16:37,coffee
108,2019-01-02 12:17:06,coffee
77,2019-01-02 12:17:07,coffee
7,2019-01-02 12:17:42,coffee
145,2019-01-02 12:22:10,coffee
49,2019-01-02 12:24:43,coffee
63,2019-01-02 12:25:09,coffee
21,2019-01-02 12:26:08,soda
4,2019-01-02 12:26:25,soda
9,2019-01-02 12:26:56,coffee
110,2019-01-02 12:40:11,coffee
54,2019-01-02 12:41:37,coffee
13,2019-01-02 12:48:25,coffee
2,2019-01-02 12:48:58,coffee
23,2019-01-02 12:51:09,coffee
41,2019-01-02 12:52:27,soda
0,2019-01-02 12:54:41,coffee
156,2019-01-02 13:02:11,coffee
128,2019-01-02 13:07:14,coffee
123,2019-01-02 13:10:20,coffee
124,2019-01-02 13:10:25,coffee
76,2019-01-02 13:13:33,coffee
11,2019-01-02 13:23:42,hot chocolate
79,2019-01-02 13:28:43,coffee
51,2019-01-02 13:33:58,coffee
2,2019-01-02 13:37:41,hot chocolate
78,2019-01-02 13:48:50,coffee
1,2019-01-02 13:58:24,hot chocolate
137,2019-01-02 13:58:41,coffee
127,2019-01-02 14:00:57,coffee
12,2019-01-02 14:07:50,coffee
9,2019-01-02 14:22:59,soda
10,2019-01-02 14:24:17,coffee
18,2019-01-02 14:38:04,coffee
100,2019-01-02 14:41:37,coffee
28,2019-01-02 14:44:05,coffee
163,2019-01-02 14:44:41,coffee
10,2019-01-02 14:46:13,hot chocolate
61,2019-01-02 14:49:22,coffee
65,2019-01-02 14:51:54,coffee
7,2019-01-02 15:12:12,hot chocolate
37,2019-01-02 15:13:47,coffee
92,2019-01-02 15:15:29,coffee
73,2019-01-02 15:19:56,coffee
35,2019-01-02 15:19:59,soda
4,2019-01-02 15:22:36,hot chocolate
33,2019-01-02 15:23:03,soda
104,2019-01-02 15:24:10,coffee
