DATE,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX
2010-01-01,119,119,119,0.0,1
2010-01-02,119,113,116,0.0,1
2010-01-03,122,116,119,0.0,1
2010-01-04,113,113,113,0.0,1
2010-01-05,113,113,113,0.0,1
2010-01-06,113,116,122,1.6,1
2010-01-07,116,119,113,0.0,1
2010-01-08,116,113,113,0.0,1
2010-01-09,113,122,119,0.0,1
2010-01-10,143,119,122,0.0,1
2010-01-11,116,113,113,0.0,1
2010-01-12,113,119,122,0.0,1
2010-01-13,113,116,119,0.0,1
2010-01-14,119,119,116,0.0,1
2010-01-15,143,113,113,0.0,1
2010-01-16,122,122,119,0.0,1
2010-01-17,113,113,113,0.0,1
2010-01-18,113,113,113,0.0,1
2010-01-19,116,116,116,0.0,1
2010-01-20,119,113,113,0.0,1
2010-01-21,113,119,122,0.0,1
2010-01-22,122,122,122,0.0,1
2010-01-23,122,122,143,0.0,1
2010-01-24,143,116,113,0.0,1
2010-01-25,119,122,113,0.0,1
2010-01-26,119,122,113,0.0,1
2010-01-27,113,113,113,0.0,1
2010-01-28,122,119,116,0.0,1
2010-01-29,122,122,122,0.0,1
2010-01-30,122,122,113,0.0,1
2010-01-31,113,116,119,0.0,1
2010-02-01,119,116,116,0.0,1
2010-02-02,119,119,122,0.0,1
2010-02-03,122,119,116,0.0,1
2010-02-04,113,113,116,0.0,1
2010-02-05,116,116,116,0.0,1
2010-02-06,119,122,116,0.0,1
2010-02-07,116,116,113,0.0,1
2010-02-08,113,113,113,0.0,1
2010-02-09,119,119,116,0.0,1
2010-02-10,119,122,122,0.0,1
2010-02-11,122,113,122,0.0,1
2010-02-12,113,113,113,0.0,1
2010-02-13,260,119,113,0.0,1
2010-02-14,113,113,113,0.0,1
2010-02-15,113,113,113,0.0,1
2010-02-16,113,113,113,0.0,1
2010-02-17,260,116,113,0.0,1
2010-02-20,116,116,113,0.0,1
2010-02-21,113,116,122,0.0,1
2010-02-22,116,116,122,0.0,1
2010-02-23,116,119,116,0.0,1
2010-02-24,113,122,122,0.0,1
2010-02-25,122,122,116,0.0,1
2010-02-26,119,113,113,0.0,1
2010-02-28,122,113,113,0.0,1
2010-03-01,122,122,248,0.0,1
2010-03-02,248,113,119,0.0,1
2010-03-03,122,116,119,0.0,1
2010-03-04,113,113,116,0.0,1
2010-03-05,113,113,113,0.0,1
2010-03-07,113,113,113,0.0,1
2010-03-08,113,113,113,0.0,1
2010-03-09,113,113,113,0.0,1
2010-03-10,113,113,113,0.0,1
2010-03-11,113,113,113,0.0,1
2010-03-12,116,116,122,0.0,1
2010-03-13,248,119,116,0.0,1
2010-03-14,143,116,116,0.0,1
2010-03-15,143,113,113,0.0,1
2010-03-17,113,113,113,0.0,1
2010-03-18,116,119,122,0.0,1
2010-03-19,119,119,122,0.0,1
2010-03-20,116,122,122,0.0,1
2010-03-21,113,113,113,0.0,1
2010-03-22,113,113,113,0.0,1
2010-03-24,122,119,119,0.0,1
2010-03-25,200,116,113,0.0,1
2010-03-27,122,119,119,0.0,1
2010-03-28,122,122,122,0.0,1
2010-03-29,116,122,113,0.0,1
2010-03-30,200,119,122,0.0,1
2010-03-31,116,116,113,0.0,1
2010-04-01,113,113,116,0.0,1
2010-04-02,122,113,119,0.0,1
2010-04-04,116,113,113,0.0,1
2010-04-05,113,116,113,0.0,1
2010-04-06,116,116,113,0.0,1
2010-04-08,248,113,113,0.0,1
2010-04-09,113,113,113,0.0,1
2010-04-11,113,116,116,0.0,1
2010-04-12,113,113,113,0.0,1
2010-04-13,119,119,113,0.0,1
2010-04-15,116,113,113,0.0,1
2010-04-16,113,113,113,0.0,1
2010-04-17,113,116,113,0.0,1
2010-04-18,143,113,116,0.0,1
2010-04-19,143,122,113,0.0,1
2010-04-20,113,113,113,0.0,1
2010-04-21,119,116,113,0.0,1
2010-04-23,116,113,113,0.0,1
2010-04-24,113,113,113,0.0,1
2010-04-25,116,113,113,0.0,1
2010-04-26,248,113,113,0.0,1
2010-04-27,113,113,113,0.0,1
2010-04-28,113,116,116,0.0,1
2010-04-29,113,116,113,0.0,1
2010-04-30,113,113,113,0.0,1
2010-05-01,116,116,116,0.0,1
2010-05-02,113,116,116,0.0,1
2010-05-03,116,122,122,0.0,1
